tjnzclyvfbkc,People Programming,upcoming,public,http://www.meetup.com/trianglehackerhours/events/tjnzclyvfbkc/,7200000,"<p>Bring a laptop and let's code something. Get help with something you're working on, offer help to someone who's trying to become a better programmer, or just chat about technologies you're working with.</p> <p><br/>Beginners are very, very welcome. So are people with lots of experience.</p> <p>We've welcomed folks working with Javascript, Python, Ruby, Java, shell scripting, R, C, .NET, Objective-C, CSS, AngularJS..., Postgres, and many more technologies.</p> <p>Even if no one has experience with the particular tool that you're struggling with, we're happy to take a look and offer whatever help we can.</p>",706 9th St,Durham,30,1,14807052,trianglehackerhours
tjnzclyvgbnb,People Programming,upcoming,public,http://www.meetup.com/trianglehackerhours/events/tjnzclyvgbnb/,7200000,"<p>Bring a laptop and let's code something. Get help with something you're working on, offer help to someone who's trying to become a better programmer, or just chat about technologies you're working with.</p> <p><br/>Beginners are very, very welcome. So are people with lots of experience.</p> <p>We've welcomed folks working with Javascript, Python, Ruby, Java, shell scripting, R, C, .NET, Objective-C, CSS, AngularJS..., Postgres, and many more technologies.</p> <p>Even if no one has experience with the particular tool that you're struggling with, we're happy to take a look and offer whatever help we can.</p>",706 9th St,Durham,30,1,14807052,trianglehackerhours
tjnzclyvhbtb,People Programming,upcoming,public,http://www.meetup.com/trianglehackerhours/events/tjnzclyvhbtb/,7200000,"<p>Bring a laptop and let's code something. Get help with something you're working on, offer help to someone who's trying to become a better programmer, or just chat about technologies you're working with.</p> <p><br/>Beginners are very, very welcome. So are people with lots of experience.</p> <p>We've welcomed folks working with Javascript, Python, Ruby, Java, shell scripting, R, C, .NET, Objective-C, CSS, AngularJS..., Postgres, and many more technologies.</p> <p>Even if no one has experience with the particular tool that you're struggling with, we're happy to take a look and offer whatever help we can.</p>",706 9th St,Durham,30,1,14807052,trianglehackerhours
tjnzclyvmbhc,People Programming,upcoming,public,http://www.meetup.com/trianglehackerhours/events/tjnzclyvmbhc/,7200000,"<p>Bring a laptop and let's code something. Get help with something you're working on, offer help to someone who's trying to become a better programmer, or just chat about technologies you're working with.</p> <p><br/>Beginners are very, very welcome. So are people with lots of experience.</p> <p>We've welcomed folks working with Javascript, Python, Ruby, Java, shell scripting, R, C, .NET, Objective-C, CSS, AngularJS..., Postgres, and many more technologies.</p> <p>Even if no one has experience with the particular tool that you're struggling with, we're happy to take a look and offer whatever help we can.</p>",706 9th St,Durham,30,1,14807052,trianglehackerhours
tjnzclyvcbfb,People Programming,upcoming,public,http://www.meetup.com/trianglehackerhours/events/227424191/,7200000,"<p>Bring a laptop and let's code something. Get help with something you're working on, offer help to someone who's trying to become a better programmer, or just chat about technologies you're working with.</p> <p><br/>Beginners are very, very welcome. So are people with lots of experience.</p> <p>We've welcomed folks working with Javascript, Python, Ruby, Java, shell scripting, R, C, .NET, Objective-C, CSS, AngularJS..., Postgres, and many more technologies.</p> <p>Even if no one has experience with the particular tool that you're struggling with, we're happy to take a look and offer whatever help we can.</p>",706 9th St,Durham,30,2,14807052,trianglehackerhours
tjnzclyvdbsb,People Programming,upcoming,public,http://www.meetup.com/trianglehackerhours/events/tjnzclyvdbsb/,7200000,"<p>Bring a laptop and let's code something. Get help with something you're working on, offer help to someone who's trying to become a better programmer, or just chat about technologies you're working with.</p> <p><br/>Beginners are very, very welcome. So are people with lots of experience.</p> <p>We've welcomed folks working with Javascript, Python, Ruby, Java, shell scripting, R, C, .NET, Objective-C, CSS, AngularJS..., Postgres, and many more technologies.</p> <p>Even if no one has experience with the particular tool that you're struggling with, we're happy to take a look and offer whatever help we can.</p>",706 9th St,Durham,30,1,14807052,trianglehackerhours
tjnzclyvkbgc,People Programming,upcoming,public,http://www.meetup.com/trianglehackerhours/events/tjnzclyvkbgc/,7200000,"<p>Bring a laptop and let's code something. Get help with something you're working on, offer help to someone who's trying to become a better programmer, or just chat about technologies you're working with.</p> <p><br/>Beginners are very, very welcome. So are people with lots of experience.</p> <p>We've welcomed folks working with Javascript, Python, Ruby, Java, shell scripting, R, C, .NET, Objective-C, CSS, AngularJS..., Postgres, and many more technologies.</p> <p>Even if no one has experience with the particular tool that you're struggling with, we're happy to take a look and offer whatever help we can.</p>",706 9th St,Durham,30,1,14807052,trianglehackerhours
tjnzclyvpbrb,People Programming,upcoming,public,http://www.meetup.com/trianglehackerhours/events/tjnzclyvpbrb/,7200000,"<p>Bring a laptop and let's code something. Get help with something you're working on, offer help to someone who's trying to become a better programmer, or just chat about technologies you're working with.</p> <p><br/>Beginners are very, very welcome. So are people with lots of experience.</p> <p>We've welcomed folks working with Javascript, Python, Ruby, Java, shell scripting, R, C, .NET, Objective-C, CSS, AngularJS..., Postgres, and many more technologies.</p> <p>Even if no one has experience with the particular tool that you're struggling with, we're happy to take a look and offer whatever help we can.</p>",706 9th St,Durham,30,1,14807052,trianglehackerhours
tjnzclyvhbdc,People Programming,upcoming,public,http://www.meetup.com/trianglehackerhours/events/tjnzclyvhbdc/,7200000,"<p>Bring a laptop and let's code something. Get help with something you're working on, offer help to someone who's trying to become a better programmer, or just chat about technologies you're working with.</p> <p><br/>Beginners are very, very welcome. So are people with lots of experience.</p> <p>We've welcomed folks working with Javascript, Python, Ruby, Java, shell scripting, R, C, .NET, Objective-C, CSS, AngularJS..., Postgres, and many more technologies.</p> <p>Even if no one has experience with the particular tool that you're struggling with, we're happy to take a look and offer whatever help we can.</p>",706 9th St,Durham,30,1,14807052,trianglehackerhours
tjnzclyvmbxb,People Programming,upcoming,public,http://www.meetup.com/trianglehackerhours/events/tjnzclyvmbxb/,7200000,"<p>Bring a laptop and let's code something. Get help with something you're working on, offer help to someone who's trying to become a better programmer, or just chat about technologies you're working with.</p> <p><br/>Beginners are very, very welcome. So are people with lots of experience.</p> <p>We've welcomed folks working with Javascript, Python, Ruby, Java, shell scripting, R, C, .NET, Objective-C, CSS, AngularJS..., Postgres, and many more technologies.</p> <p>Even if no one has experience with the particular tool that you're struggling with, we're happy to take a look and offer whatever help we can.</p>",706 9th St,Durham,30,1,14807052,trianglehackerhours
tjnzclyvkbpc,People Programming,upcoming,public,http://www.meetup.com/trianglehackerhours/events/tjnzclyvkbpc/,7200000,"<p>Bring a laptop and let's code something. Get help with something you're working on, offer help to someone who's trying to become a better programmer, or just chat about technologies you're working with.</p> <p><br/>Beginners are very, very welcome. So are people with lots of experience.</p> <p>We've welcomed folks working with Javascript, Python, Ruby, Java, shell scripting, R, C, .NET, Objective-C, CSS, AngularJS..., Postgres, and many more technologies.</p> <p>Even if no one has experience with the particular tool that you're struggling with, we're happy to take a look and offer whatever help we can.</p>",706 9th St,Durham,30,1,14807052,trianglehackerhours
tjnzclyvkbnb,People Programming,upcoming,public,http://www.meetup.com/trianglehackerhours/events/tjnzclyvkbnb/,7200000,"<p>Bring a laptop and let's code something. Get help with something you're working on, offer help to someone who's trying to become a better programmer, or just chat about technologies you're working with.</p> <p><br/>Beginners are very, very welcome. So are people with lots of experience.</p> <p>We've welcomed folks working with Javascript, Python, Ruby, Java, shell scripting, R, C, .NET, Objective-C, CSS, AngularJS..., Postgres, and many more technologies.</p> <p>Even if no one has experience with the particular tool that you're struggling with, we're happy to take a look and offer whatever help we can.</p>",706 9th St,Durham,30,1,14807052,trianglehackerhours
tjnzclyvgbfb,People Programming,upcoming,public,http://www.meetup.com/trianglehackerhours/events/tjnzclyvgbfb/,7200000,"<p>Bring a laptop and let's code something. Get help with something you're working on, offer help to someone who's trying to become a better programmer, or just chat about technologies you're working with.</p> <p><br/>Beginners are very, very welcome. So are people with lots of experience.</p> <p>We've welcomed folks working with Javascript, Python, Ruby, Java, shell scripting, R, C, .NET, Objective-C, CSS, AngularJS..., Postgres, and many more technologies.</p> <p>Even if no one has experience with the particular tool that you're struggling with, we're happy to take a look and offer whatever help we can.</p>",706 9th St,Durham,30,1,14807052,trianglehackerhours
tjnzclyvgbgc,People Programming,upcoming,public,http://www.meetup.com/trianglehackerhours/events/tjnzclyvgbgc/,7200000,"<p>Bring a laptop and let's code something. Get help with something you're working on, offer help to someone who's trying to become a better programmer, or just chat about technologies you're working with.</p> <p><br/>Beginners are very, very welcome. So are people with lots of experience.</p> <p>We've welcomed folks working with Javascript, Python, Ruby, Java, shell scripting, R, C, .NET, Objective-C, CSS, AngularJS..., Postgres, and many more technologies.</p> <p>Even if no one has experience with the particular tool that you're struggling with, we're happy to take a look and offer whatever help we can.</p>",706 9th St,Durham,30,1,14807052,trianglehackerhours
tjnzclyvmbgb,People Programming,upcoming,public,http://www.meetup.com/trianglehackerhours/events/tjnzclyvmbgb/,7200000,"<p>Bring a laptop and let's code something. Get help with something you're working on, offer help to someone who's trying to become a better programmer, or just chat about technologies you're working with.</p> <p><br/>Beginners are very, very welcome. So are people with lots of experience.</p> <p>We've welcomed folks working with Javascript, Python, Ruby, Java, shell scripting, R, C, .NET, Objective-C, CSS, AngularJS..., Postgres, and many more technologies.</p> <p>Even if no one has experience with the particular tool that you're struggling with, we're happy to take a look and offer whatever help we can.</p>",706 9th St,Durham,30,1,14807052,trianglehackerhours
tjnzclyvmbpb,People Programming,upcoming,public,http://www.meetup.com/trianglehackerhours/events/tjnzclyvmbpb/,7200000,"<p>Bring a laptop and let's code something. Get help with something you're working on, offer help to someone who's trying to become a better programmer, or just chat about technologies you're working with.</p> <p><br/>Beginners are very, very welcome. So are people with lots of experience.</p> <p>We've welcomed folks working with Javascript, Python, Ruby, Java, shell scripting, R, C, .NET, Objective-C, CSS, AngularJS..., Postgres, and many more technologies.</p> <p>Even if no one has experience with the particular tool that you're struggling with, we're happy to take a look and offer whatever help we can.</p>",706 9th St,Durham,30,1,14807052,trianglehackerhours
tjnzclyvnbmb,People Programming,upcoming,public,http://www.meetup.com/trianglehackerhours/events/tjnzclyvnbmb/,7200000,"<p>Bring a laptop and let's code something. Get help with something you're working on, offer help to someone who's trying to become a better programmer, or just chat about technologies you're working with.</p> <p><br/>Beginners are very, very welcome. So are people with lots of experience.</p> <p>We've welcomed folks working with Javascript, Python, Ruby, Java, shell scripting, R, C, .NET, Objective-C, CSS, AngularJS..., Postgres, and many more technologies.</p> <p>Even if no one has experience with the particular tool that you're struggling with, we're happy to take a look and offer whatever help we can.</p>",706 9th St,Durham,30,1,14807052,trianglehackerhours
